Strike,Vol
12250,0.438445086
12500,0.444344318
12750,0.420417755
13000,0.39687515
13250,0.373694597
13500,0.366762326
13750,0.34338305
14000,0.331428788
14250,0.307988923
14500,0.300203311
14750,0.282241174
14875,0.275404281
15000,0.267846539
15125,0.259680891
15250,0.254586458
15375,0.248258063
15500,0.240935989
15625,0.235184371
15750,0.228196716
15875,0.223839191
16000,0.21776773
16125,0.210301158
16250,0.206562929
16375,0.2059292
16500,0.194022717
16625,0.189837866
16750,0.187004961
16875,0.188062063
17000,0.182526267
17125,0.177188918
17250,0.171623651
17375,0.173218833
17500,0.165947592
17625,0.172765357
17750,0.168167551
17875,0.162040942
18000,0.168915649
18250,0.170510121
16750,0.177184629
16875,0.182753001
17000,0.189812448
17125,0.172640748
17250,0.171623651
17375,0.173218833
17500,0.165947592
17625,0.172765357
17750,0.168167551
17875,0.162040942
18000,0.168915649
18250,0.170510121
16750,0.177184629
16875,0.182753001
17000,0.189812448
17125,0.172640748
17250,0.175390975
17375,0.171670793
17500,0.179675381
17625,0.171227771
17750,0.169209764
17875,0.165912244
18000,0.164139418
18125,0.16123774
18250,0.160917237
18375,0.160602162
18500,0.161029445
18625,0.162265749
18750,0.162772594
18875,0.162951638
19000,0.165895933
19125,0.1633862
19250,0.162613859
19375,0.162293602
19500,0.171105926
19625,0.173198988
19750,0.172862374
19875,0.18079303
20000,0.17501882
